MeOw Station [2]
Project & Location: DUNEX - Pea Island, NC
Installation Date: September 14, 2021
DateTime,UnixTime,Battery_V,SonarRange_mm
2021-09-19 17:31:26,1632072686,4.85,300
2021-09-19 17:31:27,1632072687,4.85,300
2021-09-19 17:31:28,1632072688,4.85,300
2021-09-19 17:31:29,1632072689,4.85,300
2021-09-19 17:31:30,1632072690,4.85,300
2021-09-19 17:31:31,1632072691,4.85,300
2021-09-19 17:31:32,1632072692,4.85,300
2021-09-19 17:31:33,1632072693,4.85,300
2021-09-19 17:31:34,1632072694,4.85,300
2021-09-19 17:31:35,1632072695,4.85,300
2021-09-19 17:31:36,1632072696,4.85,300
2021-09-19 17:31:37,1632072697,4.85,300
2021-09-19 17:31:38,1632072698,4.85,300
2021-09-19 17:31:39,1632072699,4.85,300
2021-09-19 17:31:40,1632072700,4.85,300
2021-09-19 17:31:41,1632072701,4.85,300
2021-09-19 17:31:42,1632072702,4.85,300
