MeOw Station [1]
Project & Location: DUNEX - Pea Island, NC
Installation Date: September 16, 2021
DateTime,UnixTime,Battery_V,SonarRange_mm
2021-09-14 09:15:03,1631610903,4.91,300
2021-09-14 09:15:04,1631610904,4.91,300
2021-09-14 09:15:05,1631610905,4.91,300
2021-09-14 09:15:06,1631610906,4.91,300
2021-09-14 09:15:07,1631610907,4.91,300
2021-09-14 09:15:08,1631610908,4.91,300
2021-09-14 09:15:09,1631610909,4.91,300
2021-09-14 09:15:10,1631610910,4.91,300
2021-09-14 09:15:11,1631610911,4.91,300
2021-09-14 09:15:12,1631610912,4.91,300
2021-09-14 09:15:13,1631610913,4.91,300
2021-09-14 09:15:14,1631610914,4.91,300
2021-09-14 09:15:15,1631610915,4.91,300
2021-09-14 09:15:16,1631610916,4.91,300
2021-09-14 09:15:17,1631610917,4.91,300
2021-09-14 09:15:18,1631610918,4.91,300
2021-09-14 09:15:19,1631610919,4.91,300
2021-09-14 09:15:20,1631610920,4.91,300
2021-09-14 09:15:21,1631610921,4.91,300
2021-09-14 09:15:22,1631610922,4.90,300
2021-09-14 09:15:23,1631610923,4.91,300
2021-09-14 09:15:24,1631610924,4.91,300
2021-09-14 09:15:25,1631610925,4.91,300
2021-09-14 09:15:26,1631610926,4.91,300
2021-09-14 09:15:27,1631610927,4.91,300
2021-09-14 09:15:28,1631610928,4.91,300
2021-09-14 09:26:51,1631611611,4.90,300
2021-09-14 09:26:52,1631611612,4.93,300
2021-09-14 09:26:53,1631611613,4.93,300
2021-09-14 09:26:54,1631611614,4.93,300
2021-09-14 09:26:55,1631611615,4.93,300
2021-09-14 09:26:56,1631611616,4.93,300
2021-09-14 09:26:57,1631611617,4.93,300
2021-09-14 09:26:58,1631611618,4.93,300
2021-09-14 09:26:59,1631611619,4.93,300
2021-09-14 09:27:00,1631611620,4.93,300
2021-09-14 09:27:01,1631611621,4.93,300
2021-09-14 09:27:02,1631611622,4.91,300
2021-09-14 09:27:03,1631611623,4.93,300
2021-09-14 09:27:04,1631611624,4.93,300
2021-09-14 09:27:05,1631611625,4.91,300
